url,title_version,model_year,mileage,engine,transmission,fuel,price,description,inspection_score
https://www.pakwheels.com/used-cars/toyota-corolla-axio-2014-for-sale-in-lahore-10841979,Toyota Corolla Axio X 1.3 2014,2014,"114,665 km",1300 cc,Automatic,Petrol,"PKR 42 lacs
Managed by PakWheels",- Documents available - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 2nd Owner - Manufacture 2014 - Registered 2017 - 1 key available,7.5
https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-karachi-10836213,Toyota Corolla Altis Grande CVT-i 1.8 2015,2015,"79,150 km",1800 cc,Automatic,Petrol,"PKR 42.5 lacs
Managed by PakWheels",- Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 1st Owner - Manufacture 2015 - Registered 2015 - 1 key available,7.7
https://www.pakwheels.com/used-cars/toyota-pixis-epoch-2023-for-sale-in-islamabad-10702054,Toyota Pixis Epoch X 2023,2023,"3,932 km",660 cc,Automatic,Petrol,"PKR 36.5 lacs
Managed by PakWheels",Documents not check by pakwheels PakWheels inspected car Inspection report attached Manufacture 2023 Unregistered 1 key available,8.7
https://www.pakwheels.com/used-cars/toyota-vitz-2014-for-sale-in-lahore-10831915,Toyota Vitz F 1.0 2014,2014,"80,396 km",1000 cc,Automatic,Petrol,"PKR 33 lacs
Managed by PakWheels",Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 3rd Owner Token Tax Paid Manufacture 2014 Import 2017 Registered 2017 1 key available,7.3
https://www.pakwheels.com/used-cars/honda-civic-2005-for-sale-in-gujranwala-10880172,Honda Civic VTi Prosmatec 1.6 2005,2005,"180,058 km",1600 cc,Automatic,Petrol,"PKR 18 lacs
Managed by PakWheels",- Android Panel - Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates not available - Token tax Cleared - 4th Owner - Manufacture 2005 - Registered 2005 - 1 key available,6.3
https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-lahore-10842733,Honda City 1.5 i-VTEC Prosmatec 2018,2018,"230,224 km",1500 cc,Automatic,Petrol,"PKR 36 lacs
Financing starts at PKR 89,394/Month
Managed by PakWheels",- Sales certificate have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 1st Owner - Manufacture 2018 - Registered 2018 - 2 keys available,7.7
https://www.pakwheels.com/used-cars/honda-vezel-2019-for-sale-in-rawalpindi-10881605,Honda Vezel Hybrid Z Honda Sensing 2019,2019,"132,055 km",1500 cc,Automatic,Hybrid,"PKR 75.5 lacs
Managed by PakWheels",- Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 2nd Owner - Manufacture 2019 - Import 2024 - Registered 2024 - 2 keys available,9.2
https://www.pakwheels.com/used-cars/honda-vezel-2015-for-sale-in-karachi-10892936,Honda Vezel Hybrid Z 2015,2015,"145,225 km",1500 cc,Automatic,Hybrid,"PKR 44 lacs
Managed by PakWheels",Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax will be Paid Manufacture 2015 Import 2015 Registered 2015 1 key available,8.1
https://www.pakwheels.com/used-cars/honda-city-2019-for-sale-in-karachi-10857152,Honda City 1.3 i-VTEC Prosmatec 2019,2019,"95,043 km",1300 cc,Automatic,Petrol,"PKR 37 lacs
Financing starts at PKR 91,877/Month
Managed by PakWheels",- Back Camera - Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 3rd Owner - Manufacture 2019 - Registered 2019 - 1 key available,8.2
https://www.pakwheels.com/used-cars/honda-city-2017-for-sale-in-karachi-10857595,Honda City 1.3 i-VTEC 2017,2017,"77,982 km",1300 cc,Manual,Petrol,"PKR 35.5 lacs
Financing starts at PKR 88,152/Month
Managed by PakWheels",Single hand driven Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2017 Registered 2017 1 key available,9.1
https://www.pakwheels.com/used-cars/honda-vezel-2017-for-sale-in-rawalpindi-10869422,Honda Vezel Hybrid Z Honda Sensing 2017,2017,"170,632 km",1500 cc,Automatic,Hybrid,"PKR 58 lacs
Managed by PakWheels",- Current owner and previous owner smart card have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 3rd Owner - Manufacture 2017 - Import 2017 - Registered 2017 - 1 key available,8.5
https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-lahore-10886122,Honda City Aspire Prosmatec 1.5 i-VTEC 2018,2018,"165,292 km",1500 cc,Automatic,Petrol,"PKR 37.5 lacs
Financing starts at PKR 93,119/Month
Managed by PakWheels",- Documents available - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 1st Owner - Manufacture 2017 - Registered 2017 - 2 keys available,7.8
https://www.pakwheels.com/used-cars/honda-br-v-2019-for-sale-in-lahore-10857526,Honda BR-V i-VTEC MT 2019,2019,"79,954 km",1500 cc,Manual,Petrol,"PKR 40 lacs
Financing starts at PKR 99,327/Month
Managed by PakWheels",-seat cover installed - PakWheels inspected car - Inspection report attached - Number plates available - 2nd Owner - Token Tax Paid - Manufacture 2019 - Registered 2019 -Documents not check by pakwheels.com - 2 keys available,7.7
https://www.pakwheels.com/used-cars/honda-city-2005-for-sale-in-lahore-10853345,Honda City i-DSI Vario 2005,2005,"144,420 km",1300 cc,Automatic,Petrol,"PKR 20.5 lacs
Managed by PakWheels",- Android Panel - Speakers - Back Camera - Documents available - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 5th Owner - Manufacture 2005 - Registered 2005 - 3 keys available,5.5
https://www.pakwheels.com/used-cars/honda-accord-2008-for-sale-in-karachi-10876194,Honda Accord 2008,2008,"104,257 km",2400 cc,Automatic,Petrol,"PKR 40 lacs
Managed by PakWheels","Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 3rd Owner Token Tax will be Paid Manufacture 2008 Import 2008 Registered 2008 1 key available AIR SUSPENSION Engine changed, not updated in documents",6
